#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
111,2007,Jason Hammel,TBD,6.15,5.1,40.50%,0.3,4.95,-1.18,15.40%,9.00%,6.40%,
112,2007,Franklin Morales,COL,3.43,3.8,54.90%,0.9,4.09,0.31,16.00%,8.60%,7.40%,
113,2007,Rick Van Den Hurk,FLA,6.81,5.41,27.10%,0.2,4.85,-1.95,21.70%,12.70%,8.90%,
114,2007,Mike Pelfrey,NYM,5.58,5.03,48.20%,0.4,5.08,-1.38,13.30%,11.10%,2.20%,
115,2007,Jo-Jo Reyes,ATL,6.46,6.32,46.20%,-0.4,5.47,-1.29,12.10%,12.10%,0.00%,
116,2007,Tim Lincecum,SFG,4,3.63,47.00%,3,3.81,0.88,24.30%,10.50%,13.80%,
117,2007,Brian Bannister,KCR,3.87,4.4,40.80%,2.3,4.89,0.53,11.30%,6.40%,4.80%,
118,2007,Matt Chico,WSN,4.63,5.56,33.40%,0.1,5.52,-1.09,12.60%,9.90%,2.70%,
119,2007,Kyle Kendrick,PHI,3.87,4.94,47.10%,1.1,4.57,1.33,9.80%,5.00%,4.80%,
120,2007,Aaron Laffey,CLE,4.56,3.73,62.40%,0.9,3.99,-0.07,12.10%,5.80%,6.30%,
121,2007,Jason Hirsh,COL,4.81,5.32,30.20%,0.9,5.24,-0.83,15.50%,9.90%,5.60%,
122,2007,John Danks,CHW,5.5,5.54,34.80%,0.6,4.76,-1.81,17.50%,8.70%,8.80%,
123,2007,Ryan Feierabend,SEA,10.27,7.17,35.40%,-0.6,6.23,-1.8,10.10%,10.10%,0.00%,
124,2007,Andrew Miller,DET,5.63,5.27,49.30%,0.3,4.84,-0.87,18.10%,12.60%,5.50%,
125,2007,Dustin Moseley,LAA,4.2,3.29,41.30%,1,4.57,-0.15,14.20%,5.70%,8.50%,
126,2007,John Lannan,WSN,4.15,5.43,50.80%,0,5.83,0.28,6.50%,11.10%,-4.60%,
127,2007,Phil Hughes,NYY,4.46,4.35,36.90%,1,4.58,-0.03,19.00%,9.50%,9.50%,
128,2007,Andy Sonnanstine,TBD,5.85,4.26,38.90%,1.9,4.19,-1.73,17.50%,4.70%,12.80%,
129,2007,Daisuke Matsuzaka,BOS,4.4,4.23,38.40%,2.9,4.17,1.69,23.00%,9.20%,13.80%,
130,2007,Kei Igawa,NYY,6.9,6.7,28.90%,-0.5,5.64,-1.56,16.30%,11.40%,4.80%,
131,2007,Dallas Braden,OAK,7.31,4.3,37.90%,1,4.72,-1.79,16.40%,7.70%,8.70%,
132,2007,Yovani Gallardo,MIL,3.74,3.53,37.80%,2.3,3.85,1.54,21.70%,8.20%,13.50%,
133,2007,Homer Bailey,CIN,5.76,4.92,46.50%,0.5,5.47,-0.29,13.70%,13.70%,0.00%,
134,2007,Kevin Slowey,MIN,4.6,5.33,28.10%,0.3,4.59,-0.01,15.40%,3.40%,12.00%,
135,2008,Clayton Kershaw,LAD,4.3,4.06,48.30%,1.3,3.88,0.35,21.50%,11.00%,10.50%,
136,2008,Justin Masterson,BOS,3.67,5.56,51.30%,-0.2,4.73,0.46,17.00%,12.20%,4.80%,
137,2008,Joba Chamberlain,NYY,2.76,2.9,47.60%,1.8,3.38,0.92,27.00%,9.10%,17.90%,
138,2008,Luis Mendoza,TEX,9.4,5.84,47.50%,-0.1,5.35,-2.08,9.50%,8.70%,0.90%,
139,2008,Max Scherzer,ARI,3.41,2.97,39.40%,1,2.99,-0.16,29.40%,8.60%,20.90%,
140,2008,Hiroki Kuroda,LAD,3.73,3.59,51.30%,3.3,3.89,0.54,14.90%,5.40%,9.50%,
141,2008,Greg Smith,OAK,4.16,4.82,34.20%,1.4,5.23,0.55,13.90%,10.90%,3.00%,
142,2008,Clay Buchholz,BOS,6.72,4.83,48.30%,0.5,4.18,-2.48,20.20%,11.40%,8.80%,
143,2008,Clayton Richard,CHW,6.35,4.34,49.00%,0.6,4,-0.95,13.80%,6.10%,7.70%,
144,2008,Edinson Volquez,CIN,3.24,3.54,46.30%,3.8,3.83,2.54,24.60%,11.10%,13.50%,
145,2008,Armando Galarraga,DET,3.59,4.81,43.80%,1.5,4.38,1.47,16.90%,7.90%,9.00%,
146,2008,Nick Blackburn,MIN,4.05,4.4,44.90%,1.9,4.42,0.17,11.70%,4.70%,6.90%,
147,2008,Charlie Morton,ATL,6.32,5.1,49.60%,0.1,4.89,-1.41,14.00%,11.30%,2.70%,
148,2008,Matt Harrison,TEX,5.49,5.18,40.10%,0.5,4.98,-0.98,11.30%,8.30%,3.00%,
149,2008,Jair Jurrjens,ATL,3.68,3.59,51.70%,3.3,3.92,0.34,17.10%,8.60%,8.50%,
150,2008,Josh Banks,SDP,5.19,5.19,36.40%,0.2,5.15,-0.98,11.40%,8.10%,3.30%,
151,2008,Greg Reynolds,COL,8.26,6.94,45.30%,-0.6,5.64,-1.58,6.90%,8.90%,-2.10%,
152,2008,Radhames Liz,BAL,6.72,6.17,33.70%,-0.2,5.72,-1.54,14.50%,13.00%,1.50%,
153,2008,Aaron Laffey,CLE,4.23,4.88,51.10%,0.5,4.86,-0.25,10.50%,7.60%,2.90%,
154,2008,Collin Balester,WSN,5.51,5.11,39.60%,0.5,4.87,-1.81,14.00%,7.80%,6.10%,
155,2008,Johnny Cueto,CIN,4.81,4.9,38.60%,1.1,4.31,-1.23,20.50%,8.80%,11.70%,
156,2008,Luke Hochevar,KCR,5.51,4.43,51.80%,1.3,4.64,-1.49,12.70%,8.30%,4.40%,
157,2008,Ian Kennedy,NYY,8.35,5.64,39.20%,-0.2,6.17,-1.44,13.30%,13.30%,0.00%,
158,2008,Chris Waters,BAL,5.01,5.41,47.70%,0.2,5.21,-0.45,11.30%,10.00%,1.40%,
159,2008,John Lannan,WSN,3.91,4.79,54.20%,1.2,4.24,0.35,15.00%,9.20%,5.80%,
160,2008,Sean Gallagher,2 Tms,5.17,4.4,34.90%,1.2,4.7,-1.6,20.20%,11.30%,8.90%,
161,2008,David Purcey,TOR,5.54,4.67,31.80%,0.5,4.64,-0.18,20.10%,10.00%,10.00%,
